,mal_user,series_title,series_type,series_episodes,my_score,my_status
48,Gugilta,Death Billiards,Movie,1,0,Plan to Watch
61,Gugilta,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,0,Plan to Watch
131,Gugilta,Kara no Kyoukai 1: Fukan Fuukei,Movie,1,0,Plan to Watch
228,Gugilta,Promare,Movie,1,0,Plan to Watch
312,Gugilta,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Movie,1,0,Plan to Watch
188,Gugilta,Mo Dao Zu Shi,ONA,15,0,Plan to Watch
206,Gugilta,Net-juu no Susume,ONA,10,0,Plan to Watch
3,Gugilta,Ajin,TV,13,0,Plan to Watch
4,Gugilta,Akame ga Kill!,TV,24,0,Plan to Watch
5,Gugilta,Akatsuki no Yona,TV,24,0,Plan to Watch
16,Gugilta,Asobi Asobase,TV,12,0,Plan to Watch
17,Gugilta,Baccano!,TV,13,0,Plan to Watch
20,Gugilta,Bakuman.,TV,25,0,Plan to Watch
21,Gugilta,Ballroom e Youkoso,TV,24,0,Plan to Watch
25,Gugilta,Boku no Hero Academia,TV,13,0,Plan to Watch
41,Gugilta,Claymore,TV,26,0,Plan to Watch
46,Gugilta,Cowboy Bebop,TV,26,0,Plan to Watch
52,Gugilta,Dorohedoro,TV,12,0,Plan to Watch
53,Gugilta,Dororo,TV,24,0,Plan to Watch
56,Gugilta,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,0,Plan to Watch
57,Gugilta,Durarara!!,TV,24,0,Plan to Watch
58,Gugilta,ef: A Tale of Memories.,TV,12,0,Plan to Watch
71,Gugilta,Fruits Basket 1st Season,TV,25,0,Plan to Watch
76,Gugilta,Gintama,TV,201,0,Plan to Watch
77,Gugilta,Given,TV,11,0,Plan to Watch
83,Gugilta,Hai to Gensou no Grimgar,TV,12,0,Plan to Watch
84,Gugilta,Haibane Renmei,TV,13,0,Plan to Watch
91,Gugilta,Hajime no Ippo,TV,75,0,Plan to Watch
93,Gugilta,Hanasaku Iroha,TV,26,0,Plan to Watch
100,Gugilta,Higashi no Eden,TV,11,0,Plan to Watch
101,Gugilta,Higurashi no Naku Koro ni Gou,TV,24,0,Plan to Watch
105,Gugilta,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,0,0,Plan to Watch
110,Gugilta,Hourou Musuko,TV,11,0,Plan to Watch
115,Gugilta,Initial D First Stage,TV,26,0,Plan to Watch
116,Gugilta,Inuyashiki,TV,11,0,Plan to Watch
119,Gugilta,Jinrui wa Suitai Shimashita,TV,12,0,Plan to Watch
120,Gugilta,Jujutsu Kaisen (TV),TV,24,0,Plan to Watch
121,Gugilta,Just Because!,TV,12,0,Plan to Watch
