,series_type,series_episodes,my_score,my_status
0,,22,8,Completed
1,,22,8,Completed
2,,1,5,Completed
3,,13,0,Plan to Watch
4,,24,0,Plan to Watch
5,,24,0,Plan to Watch
6,,1,6,Completed
7,,25,7,Completed
8,,1,6,Completed
9,,13,7,Completed
10,,2,6,Completed
11,,11,7,Completed
12,,1,6,Completed
13,,22,8,Completed
14,,25,9,Completed
15,,12,5,Completed
16,,12,0,Plan to Watch
17,,13,0,Plan to Watch
18,,1,7,Completed
19,,15,10,Completed
20,,25,0,Plan to Watch
21,,24,0,Plan to Watch
22,,12,7,Completed
23,,26,5,Completed
24,,12,8,Completed
25,,13,0,Plan to Watch
26,,3,7,Completed
27,,13,7,Completed
28,,25,10,Completed
29,,25,10,Completed
30,,1,6,Completed
31,,24,10,Completed
32,,1,5,Completed
33,,12,7,Completed
34,,6,5,Completed
35,,7,5,Completed
36,,1,5,Completed
37,,23,6,Completed
38,,24,8,Completed
39,,1,6,Completed
40,,1,6,Completed
41,,26,0,Plan to Watch
42,,1,8,Completed
43,,25,7,Completed
44,,25,8,Completed
45,,1,5,Completed
46,,26,0,Plan to Watch
47,,12,6,Completed
48,,1,0,Plan to Watch
49,,37,9,Completed
50,,12,8,Completed
51,,10,7,Completed
52,,12,0,Plan to Watch
53,,24,0,Plan to Watch
54,,24,10,Completed
55,,11,0,Watching
56,,13,0,Plan to Watch
57,,24,0,Plan to Watch
58,,12,0,Plan to Watch
59,,1,6,Completed
60,,1,6,Completed
61,,1,0,Plan to Watch
62,,1,6,Completed
63,,1,7,Completed
64,,1,6,Completed
65,,12,7,Completed
66,,13,7,Completed
67,,1,7,Completed
68,,13,7,Completed
69,,12,8,Completed
70,,6,6,Completed
71,,25,0,Plan to Watch
72,,64,10,Completed
73,,12,8,Completed
74,,11,7,Completed
75,,11,7,Completed
76,,201,0,Plan to Watch
77,,11,0,Plan to Watch
78,,24,5,Completed
79,,12,7,Completed
80,,23,9,Completed
81,,43,8,Completed
82,,26,5,Completed
83,,12,0,Plan to Watch
84,,13,0,Plan to Watch
85,,25,9,Completed
86,,25,9,Completed
87,,10,9,Completed
88,,2,6,Completed
89,,13,9,Completed
90,,12,9,Completed
91,,75,0,Plan to Watch
92,,5,10,Completed
93,,26,0,Plan to Watch
94,,13,7,Completed
95,,1,7,Completed
96,,13,9,Completed
97,,13,9,Completed
98,,1,8,Completed
99,,1,6,Completed
100,,11,0,Plan to Watch
101,,24,0,Plan to Watch
102,,12,8,Completed
103,,14,6,Completed
104,,12,6,Completed
105,,0,0,Plan to Watch
106,,13,0,Watching
107,,1,5,Completed
108,,1,5,Completed
109,,1,5,Completed
110,,11,0,Plan to Watch
111,,12,10,Completed
112,,1,6,Completed
113,,148,0,Watching
114,,22,10,Completed
115,,26,0,Plan to Watch
116,,11,0,Plan to Watch
117,,12,5,Completed
118,,1,5,Completed
119,,12,0,Plan to Watch
120,,24,0,Plan to Watch
121,,12,0,Plan to Watch
122,,13,0,Plan to Watch
123,,1,5,Completed
124,,12,10,Completed
125,,0,0,Plan to Watch
126,,12,10,Completed
127,,12,0,Plan to Watch
128,,26,0,Plan to Watch
129,,12,0,Plan to Watch
130,,12,0,Plan to Watch
131,,1,0,Plan to Watch
132,,12,0,Plan to Watch
133,,12,8,Completed
134,,23,9,Completed
135,,1,7,Completed
136,,1,7,Completed
137,,13,0,Plan to Watch
138,,24,9,Completed
139,,26,8,Completed
140,,25,0,Plan to Watch
141,,1,10,Completed
142,,1,10,Completed
143,,13,0,Plan to Watch
144,,1,5,Completed
145,,24,8,Completed
146,,1,10,Completed
147,,1,10,Completed
148,,1,10,Completed
149,,13,0,Plan to Watch
150,,1,10,Completed
