importance,subject_str,q_prompt,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,opt_7,opt_8
0,Start,Are you looking at shows or movies?,Shows,Movies,,,,,,
1,Shows,Select a genre,Action,Adventure,Horror,Thriller,Drama,Romance,Comedy,Wholesome
2,Action,What kind of action?,Fights,Sports,,,,,,
2,Adventure,Taken into another world?,Can't Miss,Isekai,Not Isekai,,,,,
2,Comedy,Would you like romance elements in the comedy anime?,Rom-Com,No Romance,,,,,,
2,Drama,What focus on drama do you like?,Strong-burning Onions,Weak-burning Onions,,,,,,
2,Horror,What kind of scary?,Creatures,Mutant Powers,Religion,Psychics,Mystery,Murder Game,Psychological,Medieval
2,Movies,Most defining feature of this anime.,Amazing New Art,Well Respected,Fun Ride,Psychological Movies,Made by that One Popular Dude (Makoto Shinkai),Battles,Older Family Friendly Movies,
2,Romance,Choose a type of romance tag,Popular Witty Dialogue,Popular,Talent vs. Hard Work,Discovering Sexuality,3D Furries,Mecha Kaiju,LGBTQ,
2,Thriller,We got quite a few options here,Gambling,Time Travel,Battle Royale,Cyberpunk,Murder Mystery,Genre-breaking & Defining,Intelligent Masterminds,
2,Wholesome,Choose a type of wholesome tag,Cute Girls Doing Cute Things,Not CGDCT,,,,,,
3,3D Furries,,Beastars,,,,,,,
3,Amazing New Art,What artistic anime would you like to watch?,Extremely Popular,Wolves,The World Is Upside Down,University Students,,,,
3,Battle Royale,Who do you wanna Fortnite with?,Battle Royale with Tsundere,Battle Royale with Yandere,,,,,,
3,Battles,What type of battles in movies are you looking for?,Spectators of War,Actively Participating in Fights,,,,,,
3,Can't Miss,,Fullmetal Alchemist: Brotherhood,,,,,,,
3,Creatures,What creatures are involved?,Aliens,Vampires,The Undead,Demons,,,,
3,Cute Girls Doing Cute Things,Choose a type of CGDCT tag,CGDCT Work,Chillin',Club,,,,,
3,Cyberpunk,,Psycho-Pass,,,,,,,
3,Discovering Sexuality,,O Maidens in Your Savage Season,,,,,,,
3,Fights,How long are the seasons?,Long Seasons,Short Seasons,,,,,,
3,Fun Ride,What type of fun ride?,You Mean Riding Waves?,Art Style Frequently Changes.,Racing Competition,Cyberpunk Action Oriented,Homeless People,,,
3,Gambling,How dated is your gambling desire?,Older Gambling Show,Newer Gambling Show,,,,,,
3,Genre-breaking & Defining,Which genre did it break?,The Mecha Genre,The Magical Girls Genre,,,,,,
3,Intelligent Masterminds,You'd find intelligent masterminds in these kinds of anime:,Escape,Cat and Mouse,Terrorists,Doctor,Rebellion,,,
3,Isekai,Particular aspect?,Love/Hate,Character Development,Overpowered,Smart/Cute,Magic,Colorful,Framed,Comedic
3,LGBTQ,Male or Female?,Gay,Lesbian,,,,,,
3,Made by that One Popular Dude (Makoto Shinkai),Which one of Shinkai's works?,Short collection,Body-Swapping,Shoe-Maker,Runaway Student,Shinkai's Underrated Gems,,,
3,Mecha Kaiju,,Darling in the Franxx,,,,,,,
3,Medieval,,Berserk (1997),,,,,,,
3,Murder Game,,Danganronpa,,,,,,,
3,Murder Mystery,,Erased,,,,,,,
3,Mutant Powers,,Deadman Wonderland,,,,,,,
3,Mystery,Any notable features?,Contains Some Slap-Stick Comedy,Eye-patch,,,,,,
3,No Romance,Where does this comedy take place?,School,Daily Life,Work,,,,,
3,Not CGDCT,Choose a type of tag for not CGDCT anime,Family,Friends,,,,,,
3,Not Isekai,What do you like?,Science,Journeys,Japanese Culture,Jazz,,,,
3,Older Family Friendly Movies,What type of older family friendly movie?,Must Watch for Movie Only's,Other Good Ones,,,,,,
3,Popular,What gimmick do you like the best?,Unlikely Wingmen,Body Swap,Love Triangle,Talent vs. Hard Work,,,,
3,Popular Witty Dialogue,Focus on which:,Supernatural Slice of Life,Apparitions,,,,,,
3,Psychics,,Shinsekai yori,,,,,,,
3,Psychological,,School Live,,,,,,,
3,Psychological Movies,What type of psychological movie?,Idols,Acting Career,Dream Control,Cybernetics,Civil Unrest,,,
3,Religion,,Devilman: Crybaby,,,,,,,
3,Rom-Com,Are you fine with watching a rom-com with a harem?,Harem,No Harem,,,,,,
3,Sports,New or old?,Classic,Modern,,,,,,
3,Strong-burning Onions,Which cause of sadness to explore?,Effects of War,Overcoming Grief,Mental Health,Requires Patience,,,,
3,The Magical Girls Genre,,Puella Magi Madoka Magica,,,,,,,
3,Time Travel,,Steins;Gate,,,,,,,
3,Weak-burning Onions,What's the drama going to revolve about?,About Music,Musing,Drama Action,Art,,,,
3,Well Respected,What type of well respected anime?,Cats,Saving the World,Child Siblings,Masks,Living Again,AI Entering the Physical World,Japanese Tale,Time Loops
4,About Music,Is there going to be drama about jazz or a big band,Jazz and Drama,Band and Drama,,,,,,
4,Acting Career,,Millennium Actress,,,,,,,
4,Actively Participating in Fights,What's the fight going to be about?,Best Swordsman,Coding Fights,Finding a Different Realm,,,,,
4,AI Entering the Physical World,,Expelled from Paradise,,,,,,,
4,Aliens,,Parasyte,,,,,,,
4,Apparitions,,Bakemonogatari,,,,,,,
4,Art,Choose a tag for the drama art anime,Manga Artist,Anime Production,From the Showa Era (Rakugo),,,,,
4,Art Style Frequently Changes.,,Mind Game,,,,,,,
4,Battle Royale with Tsundere,,Fate/Zero,,,,,,,
4,Battle Royale with Yandere,,Future Diary,,,,,,,
4,Body Swap,,Kokoro Connect,,,,,,,
4,Body-Swapping,,Your Name.,,,,,,,
4,Cat and Mouse,,Death Note,,,,,,,
4,Cats,,A Whisker Away,,,,,,,
4,CGDCT Work,Choose a type of work tag,Baristas,Gondola Tour Guides,Making Video Games,Making Manga,,,,
4,Character Development,,Re:Zero,,,,,,,
4,Child Siblings,,Mirai,,,,,,,
4,Chillin',Choose a type of chillin' tag,Fun in the Boonies,Post-Apocalypse,Cute Culture Clash,"Lazy Angel and ""Evil"" Deeds",,,,
4,Civil Unrest,,Jin-Roh: The Wolf Brigade,,,,,,,
4,Classic,What classic sport?,Classic Basketball,Classic Car Racing,Classic Baseball,Classic Boxing,Classic Tennis,,,
4,Club,Choose a type club tag,Light Music,Camping,Tank Drifting,Goofing Off,Making Anime,Festival Dancing,,
4,Colorful,,No Game No Life,,,,,,,
4,Comedic,,Konosuba,,,,,,,
4,Contains Some Slap-Stick Comedy,,When They Cry,,,,,,,
4,Cybernetics,,Ghost in the Shell Movie,,,,,,,
4,Cyberpunk Action Oriented,,Akira,,,,,,,
4,Daily Life,Would you like it to be educational?,Educational Fun,Not Educational,,,,,,
4,Demons,,Mononoke,,,,,,,
